C:\Users\Administrator\AppData\Local\Temp\Setup Log 2025-11-23 #002.txt | 18698 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\StructuredQuery.log | 5895 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\vscode-typescript | 0 bytes | falha: [Errno 13] Permission denied: 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\vscode-typescript'
C:\Users\Administrator\AppData\Local\Temp\WinGet | 0 bytes | falha: [Errno 13] Permission denied: 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\WinGet'
C:\Users\Administrator\AppData\Local\Temp\WinSAT | 0 bytes | falha: [Errno 13] Permission denied: 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\WinSAT'
C:\Users\Administrator\AppData\Local\Temp\_avast_ | 0 bytes | falha: [Errno 13] Permission denied: 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\_avast_'
C:\Users\Administrator\AppData\Local\Temp\{E5768411-402B-4D2D-84AC-49EE4BB92AA7} | 4096 bytes | falha: [Errno 13] Permission denied: 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\{E5768411-402B-4D2D-84AC-49EE4BB92AA7}'
C:\Users\Administrator\AppData\Local\Temp\.opera\FBE69C5E8D24 | 0 bytes | falha: [Errno 13] Permission denied: 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\.opera\\FBE69C5E8D24'
C:\Users\Administrator\AppData\Local\Temp\.opera\Opera GX Installer | 4096 bytes | falha: [Errno 13] Permission denied: 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\.opera\\Opera GX Installer'
C:\Users\Administrator\AppData\Local\Temp\8685E9F9-C4F3-11F0-BFFE-FD7798C13567\default.ini | 16710 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\8685E9F9-C4F3-11F0-BFFE-FD7798C13567\static.ini | 8100 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\9EAF4453-C4F3-11F0-BFFE-FD7798C13567\default.ini | 16710 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\9EAF4453-C4F3-11F0-BFFE-FD7798C13567\static.ini | 8100 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\pyright-10792-yFqg4A0dNRbU\builtins-10792-PTOCR5A1H9mC-.py | 230622 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\pyright-10792-yFqg4A0dNRbU\_io-10792-qTRg5NmVQVlT-.py | 62336 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\0a969d285ca6812032d5073eb874d26b305f8d1823 | 4096 bytes | falha: [Errno 13] Permission denied: 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\python-languageserver-cancellation\\0a969d285ca6812032d5073eb874d26b305f8d1823'
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4 | 262144 bytes | falha: [Errno 13] Permission denied: 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\python-languageserver-cancellation\\681439718f4e4df148b3a48d33bf9902ffdabe20f4'
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\ff688088b4732c4f1f64007066079dd6255fd4b3bb | 40960 bytes | falha: [Errno 13] Permission denied: 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\python-languageserver-cancellation\\ff688088b4732c4f1f64007066079dd6255fd4b3bb'
C:\Users\Administrator\AppData\Local\Temp\_avast_\unp_low | 0 bytes | falha: [Errno 13] Permission denied: 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\_avast_\\unp_low'
C:\Users\Administrator\AppData\Local\Temp\{E5768411-402B-4D2D-84AC-49EE4BB92AA7}\binaries.hsh | 19030 bytes | falha: 'charmap' codec can't decode byte 0x8d in position 78: character maps to <undefined>
C:\Users\Administrator\AppData\Local\Temp\{E5768411-402B-4D2D-84AC-49EE4BB92AA7}\msi_common.dll | 365096 bytes | falha: 'charmap' codec can't decode byte 0x90 in position 2: character maps to <undefined>
C:\Users\Administrator\AppData\Local\Temp\{E5768411-402B-4D2D-84AC-49EE4BB92AA7}\msi_misc.dll | 2576888 bytes | falha: 'charmap' codec can't decode byte 0x90 in position 2: character maps to <undefined>
C:\Users\Administrator\AppData\Local\Temp\{E5768411-402B-4D2D-84AC-49EE4BB92AA7}\product_info.dll | 151328 bytes | falha: 'charmap' codec can't decode byte 0x90 in position 2: character maps to <undefined>
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\0a969d285ca6812032d5073eb874d26b305f8d1823\cancellation-bg-1.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1000.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1002.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1004.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1006.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1008.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-101.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1010.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1012.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1014.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1016.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1018.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1020.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1022.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1024.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1026.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1028.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-103.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1030.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1032.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1034.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1036.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1038.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1040.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1042.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1044.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1046.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1048.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-105.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1050.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1052.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1054.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1056.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1058.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1060.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1062.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1064.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1066.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1068.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-107.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1070.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1072.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1074.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-1076.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-109.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-11.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-111.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-113.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-115.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-117.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-119.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-121.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-123.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-125.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-127.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-129.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-13.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-131.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-133.tmp | 0 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation\681439718f4e4df148b3a48d33bf9902ffdabe20f4\cancellation-bg-135.tmp | 0 bytes | sucesso
